sku,warehouse,current_stock,reorder_point,last_updated
SKU-001,WH-SOUTH,462,100,2026-04-06 22:05:44
SKU-002,WH-NORTH,468,100,2026-04-06 22:05:44
SKU-003,WH-WEST,366,100,2026-04-06 22:05:44
SKU-004,WH-SOUTH,482,100,2026-04-06 22:05:44
SKU-005,WH-WEST,374,100,2026-04-06 22:05:44
SKU-006,WH-EAST,236,100,2026-04-06 22:05:44
SKU-007,WH-SOUTH,483,100,2026-04-06 22:05:44
SKU-008,WH-WEST,287,100,2026-04-06 22:05:44
SKU-009,WH-EAST,453,100,2026-04-06 22:05:44
SKU-010,WH-SOUTH,200,100,2026-04-06 22:05:44
