date,sku,warehouse,quantity,status,lead_time_days
2024-01-01,SKU-001,WH-EAST,29,DELIVERED,2
2024-01-01,SKU-002,WH-WEST,61,DELIVERED,3
2024-01-01,SKU-003,WH-WEST,77,DELIVERED,8
2024-01-01,SKU-004,WH-WEST,95,DELIVERED,6
2024-01-01,SKU-006,WH-WEST,50,DELIVERED,6
2024-01-01,SKU-007,WH-NORTH,91,DELIVERED,3
2024-01-01,SKU-008,WH-NORTH,26,DELIVERED,5
2024-01-01,SKU-010,WH-WEST,28,DELIVERED,8
2024-01-02,SKU-001,WH-SOUTH,25,DELIVERED,8
2024-01-02,SKU-002,WH-NORTH,91,DELIVERED,8
2024-01-02,SKU-004,WH-SOUTH,11,DELIVERED,7
2024-01-02,SKU-005,WH-EAST,28,DELIVERED,5
2024-01-02,SKU-006,WH-WEST,39,DELIVERED,3
2024-01-02,SKU-007,WH-WEST,66,DELIVERED,8
2024-01-02,SKU-008,WH-SOUTH,86,DELIVERED,3
2024-01-02,SKU-009,WH-SOUTH,31,DELIVERED,3
2024-01-02,SKU-010,WH-WEST,32,DELIVERED,3
2024-01-03,SKU-002,WH-NORTH,56,DELIVERED,6
2024-01-03,SKU-003,WH-NORTH,18,DELIVERED,5
2024-01-03,SKU-005,WH-EAST,21,DELIVERED,2
2024-01-03,SKU-007,WH-EAST,26,DELIVERED,8
2024-01-03,SKU-010,WH-EAST,69,DELIVERED,9
2024-01-04,SKU-001,WH-EAST,36,DELIVERED,4
2024-01-04,SKU-002,WH-NORTH,31,DELIVERED,3
2024-01-04,SKU-003,WH-EAST,43,DELIVERED,9
2024-01-04,SKU-004,WH-NORTH,79,DELIVERED,5
2024-01-04,SKU-005,WH-NORTH,50,DELIVERED,7
2024-01-04,SKU-006,WH-SOUTH,60,DELIVERED,8
2024-01-04,SKU-007,WH-SOUTH,89,DELIVERED,7
2024-01-05,SKU-001,WH-SOUTH,31,DELIVERED,5
2024-01-05,SKU-002,WH-NORTH,85,DELIVERED,6
2024-01-05,SKU-003,WH-SOUTH,14,DELIVERED,9
2024-01-05,SKU-005,WH-NORTH,54,DELIVERED,8
2024-01-05,SKU-006,WH-NORTH,55,DELIVERED,5
2024-01-05,SKU-008,WH-EAST,93,DELIVERED,7
2024-01-05,SKU-009,WH-WEST,82,DELIVERED,2
2024-01-05,SKU-010,WH-WEST,15,DELIVERED,6
2024-01-06,SKU-001,WH-NORTH,97,DELIVERED,6
2024-01-06,SKU-002,WH-EAST,19,DELIVERED,6
2024-01-06,SKU-004,WH-EAST,34,DELIVERED,8
2024-01-06,SKU-005,WH-WEST,98,DELIVERED,3
2024-01-06,SKU-008,WH-SOUTH,35,DELIVERED,5
2024-01-06,SKU-009,WH-EAST,61,DELIVERED,7
2024-01-06,SKU-010,WH-WEST,65,DELIVERED,2
2024-01-07,SKU-001,WH-EAST,60,DELIVERED,4
2024-01-07,SKU-003,WH-EAST,58,DELIVERED,2
2024-01-07,SKU-004,WH-SOUTH,50,DELIVERED,8
2024-01-07,SKU-005,WH-EAST,42,DELIVERED,9
2024-01-07,SKU-009,WH-SOUTH,44,DELIVERED,2
2024-01-07,SKU-010,WH-EAST,44,DELIVERED,8
2024-01-08,SKU-001,WH-EAST,98,DELIVERED,4
2024-01-08,SKU-002,WH-EAST,45,DELIVERED,4
2024-01-08,SKU-003,WH-EAST,19,DELIVERED,5
2024-01-08,SKU-004,WH-WEST,22,DELIVERED,5
2024-01-08,SKU-005,WH-EAST,91,DELIVERED,8
2024-01-08,SKU-007,WH-NORTH,92,DELIVERED,2
2024-01-08,SKU-008,WH-EAST,29,DELIVERED,7
2024-01-08,SKU-009,WH-SOUTH,24,DELIVERED,2
2024-01-08,SKU-010,WH-EAST,47,DELIVERED,2
2024-01-09,SKU-001,WH-WEST,82,DELIVERED,9
2024-01-09,SKU-003,WH-NORTH,64,DELIVERED,3
